id,item,preco,categoria_id,opcoes
64,cabeleira do zeze,30,2,
65,cabeleira do zeze sem alcool,25,2,
66,caipibeer cachaca luxo,33,2,Cachaca luxo(matuta-sagatiba-são francisco-seleta)
67,caipibeer smirnoff,33,2,
68,caipibeer velho barreiro,29,2,
69,caipirinha 51,22,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
70,caipirinha absolut,40,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
71,caipirinha cachaca luxo,27,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)Cachaca luxo(matuta-sagatiba-são francisco-seleta)
72,caipirinha sem alcool,18,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)Base(soda-agua com gas)
73,caipirinha smirnoff,27,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
74,caipirinha velho barreiro,22,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
75,caipirinha gourmet 51,22,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
76,caipirinha gourmet absolut,40,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
77,caipirinha gourmet cachaca luxo,27,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)Cachaca luxo(matuta-sagatiba-são francisco-seleta)
78,caipirinha gourmet smirnoff,27,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
79,caipirinha gourmet velho barreiro,22,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
80,coca,8,1,
81,coca zero,8,1,
82,corona,11,1,
83,cuba livre,20,2,
84,daiquiri,20,2,
85,dingle bell,30,2,
86,dingle bell sem alcool,25,2,
87,dose 51,6,2,
88,dose absolut,12,2,
89,dose campari,16,2,
90,dose rum,8,2,
91,dose seagers,8,2,
92,dose smirnoff,8,2,
93,dose tanqueray,16,2,
94,dose tequila,16,2,
95,dose velho barreiro,6,2,
96,dose whisky,162,
97,duplo malte,8,1,
98,espanhola,30,2,
99,espanhola sem alcool,25,2,Base(soda-agua com gas)
100,fanta laranja,8,1,
101,fitzgerald,35,2,Gin(seagers-tanqueray+10)
102,frozen,30,2,
103,garibaldi,302,
104,gin mojito,30,2,Gin(seagers-tanqueray+10)
105,gin screwdriver,30,2,Gin(seagers-tanqueray+10)
106,gin tonica,30,2,Gin(seagers-tanqueray+10)
107,gin tropical,35,2,Gin(seagers-tanqueray+10)
108,guarana,8,1,
109,guarana zero,8,1,
110,guaraviton,6,1,
111,h2o,8,1,
112,heineken,10,1,
113,heineken zero,11,1,
114,hi-fi,25,2,Vodka(Absolut+5-Smirnoff)
115,hohohum,35,2,
116,kamikaze,25,2,Vodka(Absolut+5-Smirnoff)
117,lagoa azul,35,2,Vodka(Absolut+5-Smirnoff)
118,limoneto,8,1,
119,lorenzo,30,2,
120,lorenzo malvadeza,35,2,
121,mamae eu posso,25,2,Base(soda-agua com gas)
122,mamae eu quero,30,2,
123,manhattan,35,2,
124,maracugin,35,2,Gin(seagers-tanqueray+10)
125,margarita,35,2,
126,mojito,27,2,
127,negroni,25,2,Gin(seagers-tanqueray+10)
128,old fashion,30,2,
129,original,10,1,
130,penicilin,35,2,
131,pink gin,25,2,Gin(seagers-tanqueray+10)
132,pina colada,30,2,
133,pina descolada,25,2,Base(soda-agua com gas)
134,pornstar martini,30,2,Vodka(Absolut+5-Smirnoff)
135,purple dulcet,30,2,
136,purple dulcet sem alcool,25,2,
137,raspadinha,15,2,Sabor(fruta-groselha-curacau blue+5)
138,raspadinha com vodka,30,2,Vodka(Absolut+5-Smirnoff)
139,red bull,15,1,
140,sex on the beach,25,2,Vodka(Absolut+5-Smirnoff)
141,skol,8,1,
142,soda,8,1,
143,soda italiana,152,Sabor(groselha-curacau blue+5)
144,22,southrise,2,Gin(seagers-tanqueray+10)
145,spaten,10,1,
146,suco,16,2,Frutas(abacaxi-acai-banana com canela-caju-kiwi-limao-limao siciliano-lima da persia-manga-maracuja-melancia-morango-tangerina)
147,taipava,8,1,
148,tequila sunrise,35,2,
149,tonica,8,1,
150,tropical,35,1,
151,white lady,30,2,Gin(seagers-tanqueray+10)
152,whisky com energetico copao,35,2,
